"","GameSno","FieldAbbe","VisitingTeamName","HomeTeamName","VisitingScore","HomeScore","AudienceCnt","Year","Date","Weekdays","HeadUmpire","GameTime","Angels"
"1",5,"新莊","味全龍","富邦悍將",2,3,8269,2023,"2023/4/3","星期一","彭楚雲",204,"Angel
Ange
Hagels
Angels
奶昔
丹丹
Jessy
東東
沁沁
維心
Angels
Angels
gels
Angels
Angels
潔米
卡卡
秀秀子
Tiffany
慈妹
Kesha
Angel
Angel
Angels
Angels
檸檬
朱朱
蓁蓁
安娜
FUBON
ANGELS 2023.04.03 G vs. W"
"2",7,"新莊","樂天桃猿","富邦悍將",10,7,8030,2023,"2023/4/4","星期二","羅鈞鴻",233,"ANG
FUBON
2023.04.04 G VS. R
Ange
Angels
丹丹
Jessy
維心
Angel
Rigels
Angels
卡卡
奶昔
Tiffany
慈妹
Angel
Angel
Ragels
檸檬
安娜
沁沁"
"3",9,"新莊","樂天桃猿","富邦悍將",5,4,5025,2023,"2023/4/5","星期三","江春緯",216,"ANGE
FUBONI
Ange
丹丹
Jessy
東東
Angels
Angels
Angels
Angels
Kesha
秀秀子
維心
慈妹
2023.04.05 vs.
Angels
Ragels
Hagels
潔米
沁沁
蓁蓁"
"4",11,"新莊","樂天桃猿","富邦悍將",4,0,4012,2023,"2023/4/7","星期五","楊崇煇",201,"ANGE
FUBON
Angel
Angels
Ragels
奶昔
蓁蓁
東東
沁沁
2023.04.07 G VS. R
Angels
Rigels
Angels
卡卡
秀秀子
Tiffany
潔米
Angel
Angel
Angels
Angels
安娜
檸檬
Kesha
維心"
"5",16,"新莊","味全龍","富邦悍將",1,9,2826,2023,"2023/4/11","星期二","王俊宏",197,"ANGE
FUBON
Angel
Ange
Angers
2023.04.11
VS.
W
奶昔
Jessy
東東
Angels
Angels
Angels
卡卡
潔米
Kesha
安娜
Angels
Hengels
Angels
檸檬
朱朱
蓁蓁"
"6",17,"新莊","味全龍","富邦悍將",5,6,2726,2023,"2023/4/12","星期三","吳家維",227,"Angels
Ange
FUBON
ANGELS
2023.04.12
慈妹
Jessy
東東
Angels
Angels
Angels
卡卡
潔米
Kesha
秀秀子
G
Angels
VS.
Angels
gels
W
檸檬
朱朱
Tiffany"
"7",19,"新莊","樂天桃猿","富邦悍將",9,3,3234,2023,"2023/4/13","星期四","羅鈞鴻",214,"Ange
丹丹
Angels
FUBON
ANGELS
2023.04.13
G
VS. R
維心
東東
Angels
Angels
Angels
卡卡
蓁蓁
Kesha
安娜
Angel
Hengels
Rigels
檸檬
朱朱
Tiffany"
"8",24,"新莊","統一7-ELEVEn獅","富邦悍將",0,9,5282,2023,"2023/4/15","星期六","林金達",207,"Ange
Ange
Angels
Angels
丹丹
Jessy
維心
沁沁
FUBON
ANGELS
Angels
Angels
gels
Angels
蓁蓁
秀秀子
Tiffany
慈妹
2023.04.15
G
VS.
Angels
Angel
Angels
Guardian
W
安娜
奶昔
朱朱
大頭"
"9",26,"新莊","中信兄弟","富邦悍將",2,9,9028,2023,"2023/4/16","星期日","陳均瑋",173,"Ange
Ange
Angels
Angels
丹丹
Jessy
維心
朱朱
FUBON
ANGELS
Angels
Angels
Angels
Angels
潔米
秀秀子
Kesha
慈妹
2023.04.16
G
VS.
Angels
Angel
FUB
Guardians
Guardian
B
安娜
奶昔
卡洛琳
大頭"
"10",45,"新莊","統一7-ELEVEn獅","富邦悍將",1,3,4358,2023,"2023/4/28","星期五","羅鈞鴻",155,"ANGE
FUBON
Angel
Angel
Angels
Ragels
丹丹
奶昔
東東
沁沁
Angels
Angels
Angels
Angels
2023.04.28
VS. E
潔米
秀秀子
Kesha
慈妹
Angels
Angel
Mengels
Angels
安娜
檸檬
朱朱
蓁蓁"
"11",47,"新莊","統一7-ELEVEn獅","富邦悍將",2,1,6013,2023,"2023/4/29","星期六","江春緯",227,"ANGE
FUBON
Ange
Ange
Angels
Ragels
丹丹
Jessy
東東
沁沁
2023.04.29
VS. E
Angels
gels
Angels
卡卡
維心
Tiffany
慈妹
Angels
Angel
Mengels
Angels
安娜
檸檬
朱朱
蓁蓁"
"12",49,"新莊","統一7-ELEVEn獅","富邦悍將",7,0,5262,2023,"2023/4/30","星期日","吳家維",172,"Angel
Ange
Angels
Hagel's
奶昔
Jessy
秀秀子
沁沁
ANGE
FUBON
Angels
Angels
Angels
卡卡
維心
Kesha
慈妹
2023.04.30
W
VS. E
Angels
Angel
Mengels
Angels
安娜
檸檬
朱朱
蓁蓁"
"13",64,"新莊","中信兄弟","富邦悍將",7,1,4206,2023,"2023/5/9","星期二","林金達",204,"ANGE
FUBON
2023.05.09
VS.
Ange
Ange
Angels
丹丹
Jessy
安娜
Angel
gels
Angels
卡卡
奶昔
Tiffany
慈妹
Angels
Hengels
Angels
B
維心
朱朱
Kesha"
"14",66,"新莊","中信兄弟","富邦悍將",8,2,4598,2023,"2023/5/10","星期三","楊崇煇",196,"ANGE
FUBON
2023.05.10
VS.
Angel
Ange
Angels
丹丹
Jessy
安娜
Angel
gels
Angels
卡卡
奶昔
Tiffany
慈妹
Angels
Hengels
Angers
B
維心
朱朱
東東"
"15",68,"新莊","統一7-ELEVEn獅","富邦悍將",1,3,3483,2023,"2023/5/11","星期四","紀華文",171,"ANGE
FUBON
Ange
Ange
Angels
丹丹
Jessy
安娜
2023.05.11
Angels
gels
Angels
卡卡
Kesha
Tiffany
慈妹
VS. E
Angels
Hengels
Angers
維心
朱朱
東東"
"16",71,"新莊","樂天桃猿","富邦悍將",4,2,5759,2023,"2023/5/13","星期六","蘇建文",169,"ANGE
FUBON
Ange
Ange
Angels
Ragels
丹丹
Jessy
東東
沁沁
Angels
Angels
gels
Angels
2023.05.13
VS. R
潔米
秀秀子
Tiffany
慈妹
Angels
Angels
Angel
Angels
安娜
維心
奶昔
蓁蓁"
"17",73,"新莊","味全龍","富邦悍將",3,7,4207,2023,"2023/5/14","星期日","羅鈞鴻",243,"Ange
Ange
Angels
Ragels
丹丹
Jessy
東東
沁沁
ANGE
FUBON
Angels
Angels
Angels
Angels
潔米
秀秀子
朱朱
慈妹
2023.05.14
VS.
W
Angels
Angels
Angel
Angels
安娜
Kesha
奶昔
蓁蓁"
"18",76,"新莊","味全龍","富邦悍將",4,2,3025,2023,"2023/5/16","星期二","王俊宏",230,"Angel
Angel
Angers
丹丹
奶昔
東東
ANGE
FUBON
Angels
Angels
Angels
卡卡
安娜
Kesha
慈妹
W
2023.05.16 vs. 3
Angels
Angels
Angels
檸檬
潔米
蓁蓁"
"19",78,"新莊","中信兄弟","富邦悍將",8,2,4360,2023,"2023/5/17","星期三","江春緯",191,"Angels
Angel
Hengels
秀秀子
奶昔
朱朱
ANGE
FUBON
Angels
gels
Angels
卡卡
安娜
Tiffany
維心
2023.05.17
VS.
B
Angels
Angels
Angels
檸檬
潔米
蓁蓁"
"20",80,"新莊","中信兄弟","富邦悍將",6,6,4285,2023,"2023/5/18","星期四","紀華文",260,"Angels
Angel
Hengels
秀秀子
奶昔
朱朱
ANGE
FUBON
Anger
gels
Angels
卡卡
丹丹
Tiffany
Kesha
2023.05.18 vs.
B
Angels
Angels
Angels
檸檬
潔米
蓁蓁"
"21",82,"新莊","中信兄弟","富邦悍將",3,0,5586,2023,"2023/5/19","星期五","蔡豐澤",185,"ANGE
FUBON
Ange
Ange
Angels
Angels
丹丹
Jessy
東東
維心
Angels
Angel
Angels
卡卡
秀秀子
奶昔
Kesha
2023.05.19
VS.
B
Angels
Angel
Mengels
Angels
潔米
檸檬
朱朱
蓁蓁"
"22",92,"新莊","味全龍","富邦悍將",2,11,4202,2023,"2023/5/26","星期五","蘇建文",227,"ANGE
FUBON
Ange
Ange
Angels
Angel
丹丹
Jessy
東東
奶昔
2023.05.26
VS.
W
Angels
Angels
Angels
卡卡
秀秀子
Kesha
潔米
Angels
Angel
Hengels
Angels
安娜
檸檬
朱朱
維心"
"23",94,"新莊","味全龍","富邦悍將",1,0,8339,2023,"2023/5/27","星期六","江春緯",158,"ANGE
FUBON
Ange
Ange
Angels
Angel
丹丹
Jessy
東東
奶昔
2023.05.27
VS. 3
Angels
Hagels
Angels
卡卡
秀秀子
沁沁
潔米
Angels
Angel
Mengels
Angels
安娜
檸檬
朱朱
慈妹"
"24",96,"新莊","味全龍","富邦悍將",0,8,4792,2023,"2023/5/28","星期日","紀華文",184,"ANGE
FUBON
2023.05.28
VS.
W
Ange
Ange
gels
Angel
丹丹
Jessy
Tiffany
奶昔
Angels
Hagels
Angels
卡卡
秀秀子
沁沁
潔米
Angels
Angel
Angels
Angels
安娜
檸檬
維心
慈妹"
"25",123,"新莊","樂天桃猿","富邦悍將",7,3,4328,2023,"2023/6/13","星期二","彭楚雲",246,"Ange
Ange
Angers
丹丹
Jessy
東東
ANGE
FUBON
Angels
Angel
gels
Angels
潔米
奶昔
Tiffany
慈妹
2023.06.13
VS. R
Angels
Hengels
Angels
Kesha
朱朱
蓁蓁"
"26",125,"新莊","中信兄弟","富邦悍將",3,1,5412,2023,"2023/6/14","星期三","邱景彥",160,"Angels
Angels
Angers
潔米
蓁蓁
東東
IF UBON
ANGELS
gels
Angels
Guardian
Tiffany
維心
大頭
2023.06.14 vs.
dians
FUB ON
Guardians
B
百白
卡洛琳"
"27",131,"新莊","中信兄弟","富邦悍將",11,6,8286,2023,"2023/6/18","星期日","江春緯",225,"ANGE
FUBON
Angel
Ange
Angels
Ragels
奶昔
Jessy
東東
沁沁
2023.06.18
VS.
B
Angel
gels
Angels
卡卡
秀秀子
Tiffany
維心
Angels
Angel
Hengels
Angels
安娜
檸檬
朱朱
Kesha"
"28",147,"新莊","統一7-ELEVEn獅","富邦悍將",7,3,10156,2023,"2023/6/29","星期四","紀華文",226,"ANGE
FUBON
2023.06.29
VS. E
Angel
Angel
Ragels
丹丹
奶昔
沁沁
Angels
Angels
Angels
Angels
維心
潔米
安娜
Kesha
Angels
Hengels
Angels
檸檬
朱朱
蓁蓁"
"29",149,"新莊","樂天桃猿","富邦悍將",6,3,5875,2023,"2023/7/1","星期六","江春緯",248,"ANGE
FUBON
Ange
Ange
Angels
Ragels
丹丹
Jessy
東東
沁沁
Angels
gels
Angel
卡卡
潔米
Tiffany
奶昔
2023.07.01
VS. R
Angels
Angel
Hengels
Angels
安娜
檸檬
朱朱
秀秀子"
"30",148,"新莊","統一7-ELEVEn獅","富邦悍將",9,5,3876,2023,"2023/7/3","星期一","蘇建文",201,"Angel
Ange
Angels
Ragels
奶昔
Jessy
東東
沁沁
ANGE
FUBON
Angels
Angels
Angels
卡卡
潔米
維心
Kesha
2023.06.30
W
VS. E
Angels
Angel
Mengels
Angels
安娜
檸檬
朱朱
蓁蓁"
"31",158,"新莊","樂天桃猿","富邦悍將",1,6,4005,2023,"2023/7/18","星期二","尤志欽",230,"ANGE
FUBON
Ange
丹丹
2023.07.18
Ange
Angels
Jessy
潔米
Ragels
Angel
gels
Angels
沁沁
秀秀子
Tiffany
慈妹
VS. R
Angels
Angels
Angels
Kesha
維心
蓁蓁"
"32",160,"新莊","味全龍","富邦悍將",5,8,4608,2023,"2023/7/19","星期三","王俊宏",210,"ANGE
FUBON
Angel
Angels
Angels
奶昔
朱朱
潔米
Ragels
Angels
gels
Angels
沁沁
秀秀子
Tiffany
慈妹
2023.07.19
VS.
W
Angels
Angel
Kesha
檸檬
卡卡"
"33",163,"新莊","味全龍","富邦悍將",4,3,4908,2023,"2023/7/21","星期五","江春緯",231,"Angels
Angels
Angels
Ragels
ANGE
FUBON
維心
潔米
東東
沁沁
Angels
Angel
gels
Angels
2023.07.21
VS.
Kesha
秀秀子
Tiffany
慈妹
W
Angels
Angel
Mengels
Angels
安娜
檸檬
朱朱
蓁蓁"
"34",162,"新莊","味全龍","富邦悍將",0,6,3645,2023,"2023/7/24","星期一","林金達",172,"ANGE
FUBON
Angels
Angels
Angels
維心
朱朱
潔米
Ragels
Angels
gels
Angels
沁沁
安娜
Tiffany
慈妹
2023.07.20
VS.
W
Angels
Angels
Angers
Kesha
蓁蓁
東東"
"35",177,"新莊","樂天桃猿","富邦悍將",10,3,2896,2023,"2023/8/2","星期三","紀華文",211,"ANGE
FUBON
Angel
ngels
Angels
2023.08.02 VS.
奶昔
Tiffany
潔米
Ange
Angas
Angels
Angel
Jessy
東東
朱朱
丹丹
Angel
Angels
慈妹
檸檬
卡卡"
"36",184,"新莊","中信兄弟","富邦悍將",2,6,10828,2023,"2023/8/5","星期六","邱景彥",207,"ANGE
FUBON
Angels
Angels
Angels
Ragels
維心
潔米
東東
沁沁
2023.08.05
VS.
B
Angels
gels
Angels
卡卡
秀秀子
Tiffany
慈妹
Angels
Angel
Angel
Angels
安娜
檸檬
丹丹
蓁蓁"
"37",186,"新莊","統一7-ELEVEn獅","富邦悍將",1,4,6091,2023,"2023/8/6","星期日","楊崇煇",219,"ANGE
FUBON
Angels
Angel
Angels
Ragels
維心
奶昔
朱朱
沁沁
2023.08.06
VS. E
Angel
gels
Angels
卡卡
秀秀子
Tiffany
慈妹
Angels
Ange
Angels
Angels
安娜
Jessy
Kesha
蓁蓁"
"38",176,"新莊","樂天桃猿","富邦悍將",14,6,4239,2023,"2023/8/14","星期一","陳均瑋",230,"ANGE
FUBON
Angel
Angels
Angels
奶昔
蓁蓁
潔米
2023.08.01
VS. R
Ange
Angels
Ragels
Angel
Jessy
秀秀子
沁沁
丹丹
Angels
Angel
維心
檸檬
卡卡"
"39",206,"新莊","中信兄弟","富邦悍將",1,6,9003,2023,"2023/8/18","星期五","蔡豐澤",219,"ANGE
FUBON
Ange
Ange
Angels
Ragels
丹丹
Jessy
東東
沁沁
2023.08.18 vs.
B
Angel
Angel
gels
Angels
奶昔
秀秀子
Tiffany
Kesha
Angels
Angel's
Hengels
Angels
維心
潔米
朱朱
蓁蓁"
"40",208,"新莊","中信兄弟","富邦悍將",7,4,9467,2023,"2023/8/19","星期六","羅鈞鴻",246,"ANGE
FUBON
2023.08.19
VS.
B
Ange
Angels
Ragels
卡卡
Jessy
慈妹
沁沁
Angel
Angel
gels
Angels
奶昔
秀秀子
Tiffany
Kesha
Angels
Angel's
Hengels
Angels
維心
潔米
朱朱
安娜"
"41",179,"新莊","味全龍","富邦悍將",1,0,3293,2023,"2023/9/4","星期一","王俊宏",164,"ANGE
FUBON
Angels
Angel's
Angels
維心
Tiffany
潔米
Ange
Angas
Angels
Angels
Jessy
東東
朱朱
Kesha
2023.08.03
VS.
W
Angels
Angel
Angels
慈妹
安娜
蓁蓁"
"42",235,"新莊","統一7-ELEVEn獅","富邦悍將",4,1,3864,2023,"2023/9/5","星期二","吳家維",191,"ANGE
FUBON
Ange
Ange
Ragels
丹丹
Jessy
沁沁
2023.09.05
VS. E
Angels
gels
Angels
卡卡
Kesha
Tiffany
慈妹
Angels
Angels
Angels
檸檬
維心
蓁蓁"
"43",239,"新莊","中信兄弟","富邦悍將",1,6,5018,2023,"2023/9/7","星期四","邱景彥",194,"ANGE
FUBON
Angels
Angels
Ragels
安娜
東東
沁沁
2023.09.07
VS.
Angels
gels
Ange
卡卡
Kesha
Tiffany
Jessy
Angels
Angels
Angel
B
潔米
維心
奶昔"
"44",244,"新莊","味全龍","富邦悍將",2,6,9055,2023,"2023/9/9","星期六","彭楚雲",207,"ANGE
FUBON
Angel
Angel
Angels
Ragels
丹丹
奶昔
東東
沁沁
2023.09.09
VS. 3
Angel
Angels
Angels
卡卡
秀秀子
維心
慈妹
Angels
Angel
Angels
Angels
安娜
檸檬
潔米
蓁蓁"
"45",246,"新莊","樂天桃猿","富邦悍將",7,5,6475,2023,"2023/9/10","星期日","蔡豐澤",209,"ANGE
FUBON
Ange
Ange
Angels
Ragels
丹丹
Jessy
朱朱
沁沁
2023.09.10
VS. R
Angels
Angels
Angels
卡卡
秀秀子
Kesha
慈妹
Angels
Angel
Angels
Angels
安娜
檸檬
潔米
蓁蓁"
"46",248,"新莊","樂天桃猿","富邦悍將",1,1,3735,2023,"2023/9/12","星期二","吳家維",239,"ANGE
FUBON
Hagels
Ange
Angel
沁沁
Jessy
奶昔
2023.09.12
VS. R
Angels
gels
Angels
卡卡
秀秀子
Tiffany
潔米
Angels
Angels
Angels
檸檬
Kesha
蓁蓁"
"47",250,"新莊","統一7-ELEVEn獅","富邦悍將",10,5,3585,2023,"2023/9/13","星期三","林金達",222,"ANGE
FUBON
Hagels
Ange
Angel
沁沁
Jessy
奶昔
Angels
Angels
gels
Angels
2023.09.13
VS.E
東東
秀秀子
Tiffany
潔米
Angels
檸檬
Angel
丹丹
Angel
安娜"
"48",252,"新莊","統一7-ELEVEn獅","富邦悍將",6,0,3609,2023,"2023/9/14","星期四","邱景彥",182,"ANGE
FUBON
Hagels
Angels
Angels
沁沁
蓁蓁
維心
Angels
gels
Angels
Angels
東東
Kesha
Tiffany
慈妹
2023.09.14
VS.E
Angels
檸檬
Angel
丹丹
Angel
安娜"
"49",266,"新莊","樂天桃猿","富邦悍將",4,1,4680,2023,"2023/9/22","星期五","楊崇煇",192,"ANGE
FUBON
Angels
Ange
Angels
2023.09.22
VS. R
Angel
維心
Jessy
東東
奶昔
Angel
gels
Angels
卡卡
秀秀子
Tiffany
Kesha
Angels
Angel
Mengels
Angels
安娜
檸檬
朱朱
蓁蓁"
"50",268,"新莊","樂天桃猿","富邦悍將",4,1,7073,2023,"2023/9/23","星期六","彭楚雲",202,"ANGE
FUBON
Angers
Angels
安娜
Angels
Anger
維心
丹丹
東東
2023.09.23
VS. R
Angel
Angels
Angels
卡卡
秀秀子
潔米
Kesha
Angels
Angel
Mengels
Angels
沁沁
檸檬
朱朱
蓁蓁"
"51",270,"新莊","樂天桃猿","富邦悍將",1,3,4671,2023,"2023/9/24","星期日","邱景彥",191,"Angels
Anger
Angers
Ange
維心
丹丹
東東
Jessy
ANGE
FUBON
Angels
Angel
Angels
Angels
慈妹
秀秀子
潔米
Kesha
2023.09.24
VS. R
Angels
Rigels
Hengels
Angels
安娜
Tiffany
朱朱
蓁蓁"
"52",271,"新莊","味全龍","富邦悍將",0,1,4028,2023,"2023/9/26","星期二","吳家維",170,"ANGE
FUBON
Ange
Ange
Angers
丹丹
Jessy
東東
2023.09.26
VS.
Angel
Angels
Hagel's
卡卡
秀秀子
維心
沁沁
Angel
Mengels
Angels
W
奶昔
朱朱
蓁蓁"
"53",273,"新莊","統一7-ELEVEn獅","富邦悍將",0,1,4216,2023,"2023/9/27","星期三","羅鈞鴻",167,"ANGE
FUBON
Angels
Angels
2023.09.27
VS.E
Angels
檸檬
潔米
慈妹
Angels
Angels
Hagel's
卡卡
秀秀子
維心
沁沁
Angel
Angels
Angels
奶昔
Kesha
蓁蓁"
"54",279,"新莊","統一7-ELEVEn獅","富邦悍將",3,9,10928,2023,"2023/9/30","星期六","邱景彥",228,"ANGE
FUBON
Ange
Ange
Angels
Hagels
丹丹
Jessy
潔米
沁沁
2023.09.30
VS.E
Angels
gels
Angels
卡卡
維心
Tiffany
慈妹
Angel
Angel
Mengels
Angels
奶昔
檸檬
朱朱
蓁蓁"
"55",281,"新莊","味全龍","富邦悍將",12,1,7782,2023,"2023/10/1","星期日","彭楚雲",218,"Anger
丹丹
FUBON
ANGELS
2023.10.01
G
VS.
W
Ange
Hagels
Jessy
東東
沁沁
Angels
gels
Angels
卡卡
維心
Tiffany
慈妹
Angels
Angel
Angels
Angels
安娜
檸檬
朱朱
Kesha"
"56",283,"新莊","中信兄弟","富邦悍將",1,2,4978,2023,"2023/10/3","星期二","紀華文",181,"ANGE
FUBON
Angels
Ange
Angers
維心
Jessy
東東
Angels
Angels
Hagels
Angels
安娜
Kesha
沁沁
慈妹
2023.10.03
VS.
Angel
Mengels
Angels
B
奶昔
朱朱
潔米"
"57",295,"新莊","中信兄弟","富邦悍將",9,4,7868,2023,"2023/10/10","星期二","陳均瑋",213,"Angel
Ange
Ange
Anges
Hagels
Angels
奶昔
丹丹 Jessy
東東
沁沁
維心
Angels
Angels
gels
Angels
Angels
潔米
卡卡
秀秀子
Tiffany 慈妹
Kesha
Angels
Angel
Angels
Aagels
檸檬
朱朱
蓁蓁
安娜
FUBON
ANGELS 2023.10.10 vs.
Angel
Ange
Ange
Anges
Hagels
Angels
奶昔
丹丹 Jessy
東東
沁沁
維心
Angels
Angels
gels
Angels
Angels
潔米
卡卡
秀秀子
Tiffany 慈妹
Kesha
Angels
Angel
Angels
Aagels
檸檬
朱朱
蓁蓁
安娜
FUBON
ANGELS 2023.10.10 vs.
Angel
Ange
Ange
Anges
Hagels
Angels
奶昔
丹丹 Jessy
東東
沁沁
維心
Angels
Angels
gels
Angels
Angels
潔米
卡卡
秀秀子
Tiffany 慈妹
Kesha
Angels
Angel
Angels
Aagels
檸檬
朱朱
蓁蓁
安娜
FUBON
ANGELS 2023.10.10 vs.
B"
"58",210,"新莊","中信兄弟","富邦悍將",0,3,10128,2023,"2023/10/14","星期六","羅鈞鴻",167,"ANGE
FUBON
5
2023.08.20
VS.
卡卡
B
Ange
Angels
Ragels
Jessy
東東
沁沁
Angel
Angel
gels
Angels
奶昔
秀秀子
Tiffany
Kesha
Angels
Angel
Hagels
Angels
維心
丹丹
朱朱
安娜"
"59",237,"新莊","統一7-ELEVEn獅","富邦悍將",0,5,4566,2023,"2023/10/19","星期四","羅鈞鴻",181,"ANGE
FUBON
Angels
Angels
Ragels
安娜
東東
沁沁
Angels
gels
Angels
卡卡
Kesha
Tiffany
慈妹
2023.09.06
VS.E
Angels
Angels
Angels
潔米
維心
蓁蓁"
"60",254,"新莊","統一7-ELEVEn獅","富邦悍將",1,2,5388,2023,"2023/10/20","星期五","楊崇煇",140,"Ange
Ange
Angels
Ragels
丹丹
Jessy
維心
沁沁
ANGE
FUBON
2023.09.15
Angel
gels
Angels
卡卡
秀秀子
Tiffany
慈妹
VS.E
Angel
Angel
Angels
Angels
奶昔
檸檬
Kesha
蓁蓁"
